source_id,type_of_water_source,number_of_people_served,priority_rank
SoKo33088224,river,976,114
KiRu26676224,river,976,114
SoIl32579224,river,976,114
KiRu29190224,river,976,114
KiRu27230224,river,976,114
KiAm21994224,river,974,124
SoKo33219224,river,974,124
SoMa34058224,river,974,124
AkRu03873224,river,974,124
HaRu18403224,river,974,124
AmAs10470224,river,974,124
AkRu03965224,river,974,124
SoRu37979224,river,974,124
SoRu35923224,river,974,124
SoRu36917224,river,972,133
SoRu37076224,river,972,133
SoRu35947224,river,972,133
SoRu36863224,river,972,133
SoRu34806224,river,972,133
SoRu37694224,river,972,133
HaRu20520224,river,972,133
AkRu08293224,river,972,133
AkRu07502224,river,972,133
AkRu06569224,river,972,133
AkRu06043224,river,970,143
AkRu02775224,river,970,143
AmRu14920224,river,970,143
AkKi01306224,river,970,143
AkRu03884224,river,970,143
SoRu35690224,river,970,143
SoRu34819224,river,970,143
SoMa34437224,river,970,143
KiRu30136224,river,970,143
SoMa33905224,river,968,152
KiRu28921224,river,968,152
KiRu28032224,river,968,152
AkRu03867224,river,968,152
AmRu15534224,river,968,152
AkRu04499224,river,968,152
AmRu14344224,river,968,152
AmRu13923224,river,968,152
SoRu36309224,river,968,152
SoRu39301224,river,968,152
SoRu35887224,river,968,152
SoRu36662224,river,968,152
SoRu35259224,river,968,152
SoRu34993224,river,968,152
SoRu38735224,river,968,152
SoRu36714224,river,968,152
SoRu35401224,river,966,168
SoRu37575224,river,966,168
SoRu37565224,river,966,168
KiRu29093224,river,966,168
SoMa33938224,river,966,168
KiZu30842224,river,966,168
HaSe21171224,river,966,168
HaRu20417224,river,966,168
SoRu34641224,river,966,168
AkRu03484224,river,966,168
AkRu05010224,river,966,168
AkRu04737224,river,966,168
AmRu13395224,river,964,180
SoRu36024224,river,964,180
SoRu36421224,river,964,180
SoRu39559224,river,964,180
SoRu39543224,river,964,180
SoRu36192224,river,964,180
KiRu25474224,river,964,180
SoCh31958224,river,964,180
KiRu27016224,river,964,180
KiRu27121224,river,964,180
SoBa31833224,river,962,190
KiRu25969224,river,962,190
SoMa33955224,river,962,190
HaRu18166224,river,962,190
HaRu18363224,river,962,190
SoRu36127224,river,962,190
SoRu34778224,river,962,190
SoRu39048224,river,962,190
SoRu39053224,river,962,190
SoRu35674224,river,960,199
SoRu35123224,river,960,199
SoRu35252224,river,960,199
SoRu38741224,river,960,199
SoRu38171224,river,960,199
SoRu38793224,river,960,199
SoRu36744224,river,960,199
SoRu38872224,river,960,199
SoRu37793224,river,960,199
KiRu28830224,river,960,199
KiRu28764224,river,960,199
KiRu29545224,river,960,199
KiAm22276224,river,960,199
AkRu05980224,river,960,199
HaRu17008224,river,958,213
AkRu03132224,river,958,213
AkRu04929224,river,958,213
AkRu03403224,river,958,213
AkRu03365224,river,958,213
AkRu07605224,river,958,213
SoRu37476224,river,958,213
SoRu35763224,river,958,213
SoRu38969224,river,958,213
KiRu28327224,river,958,213
SoKo33076224,river,958,213
HaRu19484224,river,958,213
SoMa34008224,river,958,213
KiRu30186224,river,958,213
SoIl32277224,river,958,213
KiZu31151224,river,958,213
KiRu27963224,river,958,213
KiRu25989224,river,956,230
KiZu30986224,river,956,230
KiIs23590224,river,956,230
HaRu19763224,river,956,230
AmRu14867224,river,956,230
AmBe11324224,river,956,230
HaRu18188224,river,956,230
SoRu37530224,river,956,230
SoRu38689224,river,956,230
SoRu39348224,river,956,230
SoRu36807224,river,954,240
SoRu39094224,river,954,240
SoRu37546224,river,954,240
SoRu37960224,river,954,240
SoRu35068224,river,954,240
SoRu37137224,river,954,240
KiRu25825224,river,954,240
KiAm22312224,river,954,240
SoMa33875224,river,954,240
AkRu04281224,river,954,240
AkRu03287224,river,954,240
AkRu07488224,river,954,240
HaRu17476224,river,954,240
AkRu05004224,river,954,240
AmDa12224224,river,952,254
AkRu06715224,river,952,254
AmAs10765224,river,952,254
AkRu05485224,river,952,254
AmAm09821224,river,952,254
SoRu37242224,river,952,254
SoRu37795224,river,952,254
SoRu35096224,river,952,254
KiRu28805224,river,952,254
SoBa31765224,river,952,254
HaSe20986224,river,952,254
KiZu31324224,river,952,254
KiAm22502224,river,952,254
SoMa34520224,river,952,254
KiAm22472224,river,952,254
KiRu30435224,river,952,254
SoCh31994224,river,952,254
HaRu20496224,river,950,271
KiRu25513224,river,950,271
SoIl32444224,river,950,271
SoBa31800224,river,950,271
KiRu25832224,river,950,271
SoMa34229224,river,950,271
AkRu04985224,river,950,271
AkLu02608224,river,950,271
SoRu39487224,river,950,271
SoRu37117224,river,950,271
SoRu38244224,river,948,281
SoRu37744224,river,948,281
SoRu36375224,river,948,281
SoRu36867224,river,948,281
SoRu37781224,river,948,281
SoRu38653224,river,948,281
SoRu38291224,river,948,281
SoRu37774224,river,948,281
SoCh32058224,river,948,281
KiMr24509224,river,948,281
AkLu02008224,river,948,281
AkRu08840224,river,948,281
AkRu06277224,river,946,293
AkRu08505224,river,946,293
AmDa11888224,river,946,293
SoRu38896224,river,946,293
SoRu35221224,river,946,293
SoRu38718224,river,946,293
SoKo33438224,river,946,293
KiRu27360224,river,946,293
KiRu28687224,river,946,293
SoMa33881224,river,946,293
KiZu30680224,river,946,293
SoIl32281224,river,946,293
KiRu25476224,river,946,293
SoBa31500224,river,944,306
SoMa34420224,river,944,306
HaRu19701224,river,944,306
KiRu28794224,river,944,306
SoMa34576224,river,944,306
SoKo33308224,river,944,306
HaRu18905224,river,944,306
AkRu04137224,river,944,306
HaDj16833224,river,944,306
AkRu08455224,river,944,306
AmRu12872224,river,944,306
AmPw12520224,river,944,306
AmDa11621224,river,944,306
SoRu36747224,river,944,306
SoRu39588224,river,944,306
SoRu34961224,river,942,321
SoRu39607224,river,942,321
KiRu29809224,river,942,321
KiAm22373224,river,942,321
KiRu28147224,river,942,321
SoKo33556224,river,942,321
KiRu29436224,river,940,327
HaRu19001224,river,940,327
KiRu28720224,river,940,327
KiZu30829224,river,940,327
SoMa34180224,river,940,327
KiIs23736224,river,940,327
SoCh32265224,river,940,327
SoMa34439224,river,940,327
KiIs24122224,river,940,327
SoRu39540224,river,940,327
SoRu38976224,river,940,327
SoRu35266224,river,940,327
SoRu34716224,river,940,327
SoRu37174224,river,940,327
AkRu07788224,river,940,327
AkRu08877224,river,940,327
AmRu15440224,river,938,343
KiRu28789224,river,938,343
SoBa31636224,river,938,343
HaRu19448224,river,938,343
SoRu36423224,river,938,343
SoRu37010224,river,938,343
SoRu38270224,river,938,343
SoRu37362224,river,936,350
SoRu36805224,river,936,350
SoRu39389224,river,936,350
AkRu06075224,river,936,350
AkRu05182224,river,936,350
AmAm09481224,river,936,350
SoKo33230224,river,936,350
SoMa34494224,river,936,350
SoBa31806224,river,934,358
KiIs23486224,river,934,358
KiRu29801224,river,934,358
HaRu19170224,river,934,358
KiZu31008224,river,934,358
KiRu27555224,river,934,358
SoRu37286224,river,934,358
SoRu36403224,river,934,358
SoRu34742224,river,932,366
SoRu37421224,river,932,366
SoRu38603224,river,932,366
SoRu35148224,river,932,366
SoRu36384224,river,932,366
SoRu39133224,river,932,366
KiIs23965224,river,932,366
KiRu27566224,river,932,366
KiRu27525224,river,932,366
KiRu29036224,river,932,366
SoKo33077224,river,932,366
KiRu30162224,river,932,366
KiRu27225224,river,932,366
AmAs10741224,river,932,366
AmAs10202224,river,932,366
AkRu07891224,river,932,366
AmAm09438224,river,930,382
AkRu03096224,river,930,382
SoRu35548224,river,930,382
SoRu38802224,river,930,382
SoRu38206224,river,930,382
SoRu39535224,river,930,382
SoRu39106224,river,930,382
SoKo33262224,river,930,382
KiRu30654224,river,930,382
KiRu25683224,river,930,382
KiRu27288224,river,928,392
SoKo33475224,river,928,392
KiRu27971224,river,928,392
SoMa34378224,river,928,392
HaRu20314224,river,928,392
AkRu04085224,river,928,392
AmRu13793224,river,928,392
AkRu06100224,river,928,392
HaRu17912224,river,928,392
SoRu37358224,river,928,392
SoRu39407224,river,928,392
SoRu37056224,river,928,392
SoRu38678224,river,928,392
SoRu36836224,river,928,392
SoRu34918224,river,926,406
SoRu36166224,river,926,406
SoRu35637224,river,926,406
SoRu37687224,river,926,406
SoRu37884224,river,926,406
KiRu30154224,river,926,406
SoCh32201224,river,926,406
SoIl32431224,river,926,406
KiRu26560224,river,926,406
AmAs10308224,river,926,406
AkLu02460224,river,926,406
AkRu07200224,river,924,417
AkRu02865224,river,924,417
SoRu37549224,river,924,417
SoRu37903224,river,924,417
KiZu30955224,river,924,417
KiRu29918224,river,924,417
SoKo33314224,river,924,417
KiZu31012224,river,924,417
KiRu29599224,river,922,425
SoIl32806224,river,922,425
AmRu13633224,river,922,425
AmRu14055224,river,922,425
AkRu03500224,river,922,425
AkRu02987224,river,922,425
SoRu38377224,river,922,425
SoRu39637224,river,920,432
SoRu36465224,river,920,432
SoRu35602224,river,920,432
SoRu38159224,river,920,432
SoRu35326224,river,920,432
SoRu38789224,river,920,432
SoRu37932224,river,920,432
SoRu36223224,river,920,432
KiRu26860224,river,920,432
KiMr24827224,river,920,432
HaRu20556224,river,920,432
KiRu26174224,river,920,432
SoBa31825224,river,920,432
KiRu28563224,river,918,445
SoMa33930224,river,918,445
SoIl32554224,river,918,445
KiRu26217224,river,918,445
KiAm22618224,river,918,445
SoKo33116224,river,918,445
SoMa34258224,river,918,445
SoRu35748224,river,918,445
SoRu37075224,river,918,445
AkRu04147224,river,918,445
AkHa00232224,river,918,445
AkRu07041224,river,916,456
AkRu07339224,river,916,456
AmPw12326224,river,916,456
AkRu05389224,river,916,456
KiZu31274224,river,916,456
SoBa31897224,river,916,456
SoRu34766224,river,916,456
SoRu36273224,river,916,456
SoRu37149224,river,916,456
SoRu35623224,river,914,465
SoRu39194224,river,914,465
AkRu04233224,river,914,465
AmAs10630224,river,914,465
SoKo33315224,river,914,465
HaRu20360224,river,914,465
HaRu19185224,river,914,465
KiRu27712224,river,912,472
KiRu27728224,river,912,472
HaRu19566224,river,912,472
SoRu35180224,river,912,472
SoRu35825224,river,912,472
SoRu38340224,river,912,472
AmBe10951224,river,912,472
HaDe16315224,river,912,472
AkRu07680224,river,912,472
AmAm09523224,river,912,472
AkRu04283224,river,910,482
AkRu06673224,river,910,482
AmAm09603224,river,910,482
AkRu07221224,river,910,482
AkRu07333224,river,910,482
AmRu14167224,river,910,482
HaRu18599224,river,910,482
SoBa31570224,river,910,482
KiRu25964224,river,910,482
SoRu35487224,river,910,482
SoRu36445224,river,910,482
SoRu34962224,river,910,482
SoRu38301224,river,910,482
SoRu38079224,river,910,482
SoRu35306224,river,910,482
SoRu35764224,river,908,497
SoRu37543224,river,908,497
SoRu36115224,river,908,497
SoRu36056224,river,908,497
HaRu17692224,river,908,497
KiRu26546224,river,908,497
KiRu26712224,river,908,497
KiAm21974224,river,908,497
KiRu30424224,river,908,497
KiRu28787224,river,908,497
SoIl32464224,river,906,507
SoMa33799224,river,906,507
KiIs23620224,river,906,507
KiHa23281224,river,906,507
HaSe21113224,river,906,507
KiZu30865224,river,906,507
SoRu35419224,river,906,507
SoRu35471224,river,906,507
SoRu39040224,river,906,507
SoRu36365224,river,906,507
SoRu36561224,river,906,507
SoRu35755224,river,906,507
AkRu06501224,river,906,507
AmAm09393224,river,906,507
AmPw12370224,river,906,507
AmRu15264224,river,906,507
AkRu04193224,river,904,523
SoIl32883224,river,904,523
KiZu31227224,river,904,523
KiRu26417224,river,904,523
SoMa33931224,river,904,523
SoRu39211224,river,904,523
SoRu37507224,river,904,523
SoRu38356224,river,904,523
SoRu38986224,river,902,531
SoRu39113224,river,902,531
SoRu39399224,river,902,531
SoRu35961224,river,902,531
SoCh31937224,river,902,531
HaSe21134224,river,902,531
SoIl32899224,river,902,531
KiZu31148224,river,900,538
SoKo33188224,river,900,538
SoMa34472224,river,900,538
KiRu29515224,river,900,538
KiRu30393224,river,900,538
AkRu08561224,river,900,538
AkRu04427224,river,900,538
AkRu04879224,river,900,538
SoRu35298224,river,900,538
SoRu39208224,river,900,538
SoRu38059224,river,900,538
SoRu38563224,river,900,538
SoRu38099224,river,900,538
SoRu37334224,river,900,538
SoRu37302224,river,898,552
SoRu36715224,river,898,552
SoRu39504224,river,898,552
KiRu30606224,river,898,552
SoCh32253224,river,898,552
KiRu30158224,river,898,552
SoKo33244224,river,898,552
KiMr24266224,river,898,552
SoMa34337224,river,898,552
KiRu28244224,river,898,552
SoKo33384224,river,898,552
SoCh32239224,river,898,552
AmRu15775224,river,898,552
AmAs10890224,river,898,552
AkRu08404224,river,898,552
HaAm16017224,river,898,552
AmPw12348224,river,898,552
AmAs10555224,river,896,569
HaRu17551224,river,896,569
SoRu39328224,river,896,569
SoRu38991224,river,896,569
SoRu37112224,river,896,569
SoRu37365224,river,896,569
SoRu36693224,river,896,569
KiRu28790224,river,896,569
KiRu28098224,river,896,569
KiHa23471224,river,896,569
KiRu28696224,river,896,569
KiZu31119224,river,894,580
SoBa31898224,river,894,580
SoBa31543224,river,894,580
SoMa34226224,river,894,580
KiRu26965224,river,894,580
KiRu28690224,river,894,580
HaRu20362224,river,894,580
HaRu17764224,river,894,580
SoRu34797224,river,894,580
SoRu37963224,river,894,580
SoRu37583224,river,894,580
SoRu38255224,river,892,591
SoRu38422224,river,892,591
SoRu36700224,river,892,591
HaYa21527224,river,892,591
KiRu28705224,river,892,591
SoKo33525224,river,892,591
KiRu25870224,river,892,591
KiRu28536224,river,892,591
AkRu07175224,river,892,591
AkRu04057224,river,892,591
AmDa12197224,river,892,591
AmAb09163224,river,890,602
AkRu04398224,river,890,602
AkRu08717224,river,890,602
AmDa12048224,river,890,602
SoRu34804224,river,890,602
SoRu36826224,river,890,602
SoRu37197224,river,890,602
SoRu35696224,river,890,602
SoRu38384224,river,890,602
SoRu36100224,river,890,602
SoRu38621224,river,890,602
KiMr25166224,river,890,602
KiIs23715224,river,888,614
KiMr24852224,river,888,614
KiZu31106224,river,888,614
KiHa22639224,river,888,614
KiRu27945224,river,888,614
AmRu14264224,river,888,614
AkRu06953224,river,888,614
SoRu37492224,river,888,614
SoRu35014224,river,888,614
SoRu38993224,river,888,614
SoRu34718224,river,888,614
SoRu36778224,river,886,625
SoRu37373224,river,886,625
SoRu34820224,river,886,625
SoRu34890224,river,886,625
KiZu30760224,river,886,625
SoMa33642224,river,886,625
KiRu28679224,river,886,625
SoMa34365224,river,886,625
KiRu29213224,river,886,625
AkRu06345224,river,886,625
AmAm09465224,river,886,625
AkRu04058224,river,886,625
AmBe11013224,river,886,625
AkRu04572224,river,884,638
AkRu04250224,river,884,638
SoRu39434224,river,884,638
SoRu37060224,river,884,638
SoRu38675224,river,884,638
SoRu38256224,river,884,638
SoRu36251224,river,884,638
SoRu34721224,river,884,638
SoIl32518224,river,884,638
KiZu30797224,river,884,638
SoIl32581224,river,884,638
KiRu28379224,river,882,649
KiZu30747224,river,882,649
SoKo33361224,river,882,649
KiAm22135224,river,882,649
SoCh32177224,river,882,649
AkRu03710224,river,882,649
SoRu38466224,river,882,649
SoRu38669224,river,882,649
SoRu36219224,river,882,649
SoRu39149224,river,882,649
SoRu38651224,river,882,649
SoRu34765224,river,882,649
SoRu34736224,river,882,649
SoRu37611224,river,880,662
SoRu36810224,river,880,662
SoRu36404224,river,880,662
SoMa34387224,river,880,662
SoMa34484224,river,880,662
AmRu13162224,river,880,662
AmRu15009224,river,880,662
AkRu07304224,river,880,662
AkRu03948224,river,878,670
SoRu37101224,river,878,670
SoRu35295224,river,878,670
SoRu38873224,river,878,670
HaRu19607224,river,878,670
KiHa23305224,river,878,670
SoKo33431224,river,878,670
KiRu25243224,river,878,670
KiRu29429224,river,878,670
KiIs23771224,river,878,670
KiRu26178224,river,878,670
SoIl32775224,river,876,681
KiZu31102224,river,876,681
AkRu05226224,river,876,681
AmRu15600224,river,876,681
HaDe16442224,river,876,681
SoRu35680224,river,876,681
SoRu37304224,river,876,681
SoRu35482224,river,876,681
SoRu39021224,river,876,681
SoRu34985224,river,876,681
SoRu39296224,river,874,691
SoRu37107224,river,874,691
SoRu38473224,river,874,691
SoRu38409224,river,874,691
SoRu35895224,river,874,691
KiRu28737224,river,874,691
SoBa31718224,river,874,691
SoMa34305224,river,874,691
SoCh32176224,river,874,691
AkRu03324224,river,874,691
AkRu07202224,river,874,691
HaRu17624224,river,874,691
AmRu13278224,river,872,703
AkLu01758224,river,872,703
AmRu15140224,river,872,703
SoRu37506224,river,872,703
SoIl32770224,river,872,703
KiRu28968224,river,872,703
HaRu20599224,river,872,703
KiRu30272224,river,872,703
KiMr24890224,river,870,711
KiRu27720224,river,870,711
SoMa33987224,river,870,711
KiRu30041224,river,870,711
AkRu03860224,river,870,711
AmRu13643224,river,870,711
AkRu07106224,river,870,711
SoRu39437224,river,870,711
SoRu34836224,river,870,711
SoRu35107224,river,870,711
SoRu38132224,river,868,721
SoRu39108224,river,868,721
SoRu35194224,river,868,721
SoRu35186224,river,868,721
HaRu20285224,river,868,721
KiRu30512224,river,868,721
KiRu28841224,river,868,721
SoCh32151224,river,868,721
KiAm22422224,river,868,721
SoBa31481224,river,868,721
SoIl32695224,river,868,721
KiRu28619224,river,868,721
KiRu28744224,river,868,721
AkRu02853224,river,868,721
AkRu04107224,river,868,721
AkRu03794224,river,866,736
AmRu14208224,river,866,736
AkRu06810224,river,866,736
SoRu38057224,river,866,736
SoRu37462224,river,866,736
SoRu36396224,river,866,736
SoRu39635224,river,866,736
SoRu38471224,river,866,736
KiRu25500224,river,866,736
SoBa31795224,river,866,736
HaSe21321224,river,866,736
KiMr24501224,river,866,736
SoBa31508224,river,866,736
KiRu26179224,river,866,736
KiRu25925224,river,866,736
SoBa31881224,river,866,736
KiRu26714224,river,866,736
SoMa33921224,river,866,736
KiRu29505224,river,866,736
HaRu18006224,river,864,755
SoRu37009224,river,864,755
SoRu36775224,river,864,755
SoRu36570224,river,864,755
SoRu39090224,river,864,755
SoRu37782224,river,864,755
SoRu38062224,river,864,755
SoRu37716224,river,864,755
SoRu38848224,river,862,763
SoRu35069224,river,862,763
SoRu37989224,river,862,763
SoRu37144224,river,862,763
SoKo33318224,river,862,763
KiRu29315224,river,862,763
AkRu08264224,river,862,763
AkRu03530224,river,860,770
AkRu08891224,river,860,770
AmRu15302224,river,860,770
SoRu36336224,river,860,770
SoRu36351224,river,860,770
SoRu39110224,river,860,770
SoRu39004224,river,860,770
SoRu39164224,river,860,770
KiRu27834224,river,860,770
KiRu28753224,river,858,779
KiZu30944224,river,858,779
KiHa22794224,river,858,779
AmAs10344224,river,858,779
AkRu04770224,river,858,779
SoRu37066224,river,858,779
SoRu38533224,river,858,779
SoRu35562224,river,858,779
SoRu36314224,river,858,779
SoRu37878224,river,856,788
SoRu37827224,river,856,788
SoRu38562224,river,856,788
SoRu37067224,river,856,788
SoRu35587224,river,856,788
KiZu31029224,river,856,788
SoKo33290224,river,856,788
KiRu29163224,river,856,788
AkRu03972224,river,856,788
AkRu08169224,river,854,797
AkRu08321224,river,854,797
SoRu39084224,river,854,797
SoRu37562224,river,854,797
SoMa33687224,river,854,797
KiRu25546224,river,854,797
KiRu26723224,river,854,797
KiRu28846224,river,852,804
SoMa33823224,river,852,804
KiRu29946224,river,852,804
KiMr24916224,river,852,804
SoBa31462224,river,852,804
AkRu02700224,river,852,804
AkRu04800224,river,852,804
SoRu37297224,river,852,804
SoRu35635224,river,852,804
SoRu35956224,river,852,804
SoRu36053224,river,852,804
SoRu38943224,river,850,815
SoRu37502224,river,850,815
SoRu36876224,river,850,815
SoRu39335224,river,850,815
KiAm22597224,river,850,815
SoIl32352224,river,850,815
SoIl32463224,river,848,821
KiRu29254224,river,848,821
SoCh32050224,river,848,821
KiRu27224224,river,848,821
KiRu26016224,river,848,821
KiZu31216224,river,848,821
SoRu37040224,river,848,821
SoRu35801224,river,848,821
SoRu36299224,river,848,821
SoRu38490224,river,848,821
SoRu37812224,river,848,821
HaRu17777224,river,848,821
AkRu05278224,river,848,821
AmAb09091224,river,848,821
AkRu05652224,river,848,821
AmAm09963224,river,848,821
AkRu03750224,river,846,837
HaRu17896224,river,846,837
AmRu13976224,river,846,837
AkRu05546224,river,846,837
KiZu31159224,river,846,837
HaRu19268224,river,846,837
HaRu19269224,river,846,837
SoMa34389224,river,846,837
SoRu38200224,river,846,837
SoRu36745224,river,846,837
SoRu35539224,river,846,837
SoRu39104224,river,844,848
SoRu35753224,river,844,848
SoRu35290224,river,844,848
SoRu34837224,river,844,848
SoRu38580224,river,844,848
SoRu36585224,river,844,848
AmRu14770224,river,844,848
KiRu29007224,river,844,848
KiRu25385224,river,844,848
SoRu34674224,river,842,857
KiMr24805224,river,842,857
SoMa34023224,river,842,857
SoRu34960224,river,842,857
SoRu38246224,river,842,857
SoRu35905224,river,842,857
SoRu37260224,river,842,857
SoRu38666224,river,842,857
SoRu35370224,river,842,857
AkHa00502224,river,842,857
AmRu13516224,river,840,867
AkRu08741224,river,840,867
AkRu07650224,river,840,867
SoMa34315224,river,840,867
SoIl32862224,river,840,867
SoIl32887224,river,840,867
KiRu25665224,river,840,867
KiRu28692224,river,840,867
SoRu38494224,river,840,867
SoRu39575224,river,840,867
SoRu37830224,river,840,867
SoRu34892224,river,840,867
SoRu38212224,river,840,867
SoRu37245224,river,838,880
SoRu39601224,river,838,880
SoRu35217224,river,838,880
SoRu35227224,river,838,880
SoRu38547224,river,838,880
SoRu35195224,river,838,880
KiRu28561224,river,838,880
SoIl32280224,river,838,880
KiRu27885224,river,838,880
KiRu29450224,river,838,880
KiRu28860224,river,838,880
KiRu26973224,river,838,880
KiRu29990224,river,838,880
KiIs24193224,river,838,880
SoIl32646224,river,838,880
KiRu26123224,river,838,880
KiRu29868224,river,838,880
KiHa23195224,river,836,897
SoIl32460224,river,836,897
KiRu25305224,river,836,897
KiRu27810224,river,836,897
KiRu27350224,river,836,897
HaRu17144224,river,836,897
AkLu01601224,river,836,897
SoRu38070224,river,836,897
SoRu38523224,river,836,897
SoRu35747224,river,834,906
SoRu35609224,river,834,906
SoRu38084224,river,834,906
SoRu38430224,river,834,906
SoRu36054224,river,834,906
SoRu38724224,river,834,906
SoRu34671224,river,834,906
SoMa33989224,river,834,906
AkRu06077224,river,834,906
AkRu03975224,river,834,906
AmAm09691224,river,834,906
AkRu04433224,river,834,906
AmAm09569224,river,832,918
AmAb08991224,river,832,918
AmRu13697224,river,832,918
AkRu07825224,river,832,918
SoRu38589224,river,832,918
SoRu37087224,river,832,918
SoRu35258224,river,832,918
KiAm22134224,river,832,918
KiRu27380224,river,832,918
SoMa34565224,river,832,918
SoBa31541224,river,832,918
SoCh31946224,river,832,918
HaYa21433224,river,832,918
SoIl32593224,river,832,918
HaRu19317224,river,832,918
SoMa34449224,river,832,918
KiRu26531224,river,832,918
SoIl33007224,river,830,935
SoKo33129224,river,830,935
KiRu27312224,river,830,935
KiRu30151224,river,830,935
AkRu06478224,river,830,935
HaDj16888224,river,830,935
AkRu04664224,river,830,935
AkRu07835224,river,830,935
AkLu01766224,river,830,935
AkRu05910224,river,830,935
SoRu35409224,river,830,935
SoRu36557224,river,830,935
SoRu37238224,river,830,935
SoRu35707224,river,830,935
SoKo33526224,river,828,949
SoMa33819224,river,828,949
KiIs24055224,river,828,949
KiRu29978224,river,828,949
KiRu29147224,river,828,949
KiHa23014224,river,828,949
HaRu18627224,river,828,949
HaRu18722224,river,828,949
HaRu20121224,river,828,949
KiZu30843224,river,828,949
AkRu04236224,river,828,949
AmRu13943224,river,828,949
AkRu04472224,river,828,949
AkRu08002224,river,828,949
AkKi00923224,river,828,949
AmAm09746224,river,826,964
AkRu05674224,river,826,964
AmAs10451224,river,826,964
SoRu34817224,river,826,964
SoRu37522224,river,826,964
SoRu38180224,river,826,964
SoRu34929224,river,826,964
SoRu36031224,river,826,964
KiRu30357224,river,826,964
HaRu18671224,river,826,964
KiZu30840224,river,826,964
SoMa33627224,river,826,964
HaRu19506224,river,824,976
SoMa34076224,river,824,976
KiHa23071224,river,824,976
AkRu06184224,river,824,976
AkRu03802224,river,824,976
AmDa11995224,river,824,976
HaRu18255224,river,824,976
SoRu35908224,river,824,976
SoRu37730224,river,824,976
SoRu38661224,river,824,976
SoRu37460224,river,824,976
SoRu36663224,river,824,976
SoRu34750224,river,822,988
SoRu39282224,river,822,988
SoRu35875224,river,822,988
SoRu37715224,river,822,988
HaRu19852224,river,822,988
KiMr24384224,river,822,988
SoKo33301224,river,822,988
KiRu25741224,river,822,988
AkRu07885224,river,822,988
